filename,full_path,file_type,project_area,apparent_purpose,modified_date,version_information,referenced_by,live_website_use,relationship_to_other_versions,status,classification_note,source_root,size_bytes,sha256
AwakenArts_Prototype_Maps_Dragon_QueenAnn_Merri_Ballerina.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Architecture/AwakenArts_Prototype_Maps_Dragon_QueenAnn_Merri_Ballerina.docx,docx,Dragon prototype,AwakenArts Prototype Maps Dragon QueenAnn Merri Ballerina,2026-06-16T08:39:37-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Architecture/AwakenArts_Prototype_Maps_Dragon_QueenAnn_Merri_Ballerina.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/Architecture/AwakenArts_Prototype_Maps_Dragon_QueenAnn_Merri_Ballerina.docx,CLAUDE_WORKING_FILES,15344,1edf2437b25d988e942d34fdd493d870db342b7e92f201e2edc9b3b7d1d458ed
Dragon_Companion_Production_Blueprint.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Companion/Dragon_Companion_Production_Blueprint.docx,docx,Dragon prototype,Dragon Companion Production Blueprint,2026-06-18T12:53:17-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Companion/Dragon_Companion_Production_Blueprint.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Companion/Dragon_Companion_Production_Blueprint.docx,CLAUDE_WORKING_FILES,44375,8cc029084b8e757645ee261c6d89b3bfc523fd4bce095744c85f0b8f607fda5d
Dragon_Facilitator_Companion_Prototype.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Companion/Dragon_Facilitator_Companion_Prototype.docx,docx,Dragon prototype,Dragon Facilitator Companion Prototype,2026-07-16T09:51:08-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,2259566,72da2853080d9e908a131e016ccc629b2ff5e8eac659fb6f68374f4df30ba6b4
Dragon_Facilitator_Companion_Prototype_v2.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Companion/Dragon_Facilitator_Companion_Prototype_v2.docx,docx,Dragon prototype,Dragon Facilitator Companion Prototype v2,2026-07-16T10:28:08-05:00,version-like filename,not determined,NO / NOT APPLICABLE,same filename appears in 2 locations with differing content/hashes,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,2564249,d53ac5c4a2dd16a859b3dc8a5cbf8eed6ba14f4c9dc163aef82ba113e75cba59
dragon-figure.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Images/02_Figure/dragon-figure.png,png,Dragon prototype,dragon figure,2026-06-22T17:04:19-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Images/02_Figure/dragon-figure.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Images/02_Figure/dragon-figure.png,CLAUDE_WORKING_FILES,2547462,6f4f9f5b5eefc24ef1c9331bc61ba6c8abb9b3ce06027149c1ff82a045e31397
dragon_figure.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Images/02_Figure/dragon_figure.png,png,Dragon prototype,dragon figure,2026-06-22T17:02:43-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,pending hash/name comparison,DUPLICATE / REDUNDANT,Secondary working copy; compare against live repository before use,CLAUDE_WORKING_FILES,4148489,5998697c1c5d0fc2a7a5691aaf1ae94977add5c8733ba035957e125a855a2ad6
dark-dragon-motif.png,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Images/03_Motifs/dark-dragon-motif.png,png,Dragon prototype,dark dragon motif,2026-06-22T15:59:53-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Images/03_Motifs/dark-dragon-motif.png,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Images/03_Motifs/dark-dragon-motif.png,CLAUDE_WORKING_FILES,2354005,75233929ed2482a9b6d819c4a86a22144126d4e043980dbdfc5f354a53e22696
notes.txt,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/notes.txt,txt,Dragon prototype,notes,2026-06-15T09:34:18-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 4; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/notes.txt,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/notes.txt,CLAUDE_WORKING_FILES,40,ad6c9781c86b195a64eebb3d08bf34782a6f274a30cc509d8ff44ed49d18d73d
Applications.md,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Applications.md,md,Dragon prototype,Applications,2026-06-16T17:47:28-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Applications.md,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Applications.md,CLAUDE_WORKING_FILES,66,c52ded49ca3299dbb8a61d1d5ce366f29a6102cfb695006e4323204c2c451d70
Connections.md,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Connections.md,md,Dragon prototype,Connections,2026-06-18T13:15:10-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Connections.md,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Connections.md,CLAUDE_WORKING_FILES,313,89e242ca800b7ebdc0cd7547685f7ea8a96a03389c4d062845a14fa5458068e3
Dragon_Atmospheric_Brief.docx,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Atmospheric_Brief.docx,docx,Dragon prototype,Dragon Atmospheric Brief,2026-06-17T19:26:50-05:00,not explicit,not determined,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Atmospheric_Brief.docx,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Atmospheric_Brief.docx,CLAUDE_WORKING_FILES,38710,501305217286b556de6bca70a52f0ab379f54d94d6fc4d4036bdaf40363c9ea0
Dragon_Author_Notes.txt,/Users/sashe/Documents/Claude/Projects/AwakenArts -- When Language Shapes a Path/AwakenArts_Workbook/Book_01_Mermaid/02_Dragon/Text/Dragon_Author_Notes.txt,txt,Dragon prototype,Dragon Author Notes,2026-06-16T08:39:45-05:00,not explicit,repository text/code search,NO / NOT APPLICABLE,byte-identical group of 3; primary: /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Author_Notes.txt,DUPLICATE / REDUNDANT,Byte-identical to /Users/sashe/Projects/AwakenArts/awakenarts-site/AwakenArts_Workbook/02_Dragon/Text/Dragon_Author_Notes.txt,CLAUDE_WORKING_FILES,5724,ca95ccd71202c6a045d604a5866f8d679acc0126f9c8905503acd03fa85f7066
